category_1,category_2,category_3,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights
"Sports, Books and More",Sports,Cricket ,ITWOSERVICES CRICKET NET 100X10 CRICKET NET NYLON HDPE Cricket Net  (Green),4.4,"₹1,615","₹4,000",I2SERVICES,4.4,,Cricket Practice Net NYLON HDPE Material W x H x D: 10 x 10
"Sports, Books and More",Sports,Cricket ,VICTORY Medium Weight ( Pack of 1 ) Rubber Cricket Tennis Ball Cricket Rubber Ball  (Pack of 1),3.7,₹59,₹199,VictoryOutlets,4.7,,Cricket Rubber Ball Weight: 110 g
"Sports, Books and More",Sports,Cricket ,VICTORY Cricket Wind Ball (Pack of 1) - Made in India Smooth Cricket Cricket Synthetic Ball  (Pack of 1),3.8,₹75,₹299,VictoryOutlets,4.7,,Cricket Synthetic Ball Weight: 110 g
"Sports, Books and More",Sports,Cricket ,VICTORY Cricket Wind Ball (Pack of 1) - Made in India Smooth Cricket Cricket Synthetic Ball  (Pack of 1),3.8,₹75,₹299,VictoryOutlets,4.7,,Cricket Synthetic Ball Weight: 110 g
"Sports, Books and More",Sports,Cricket ,Ceat six hitman Bat with COVER Poplar Willow Cricket  Bat  (900-1000 g),3.5,₹329,"₹2,295",IndiaFit,4.7,,"Age Group 15+ Yrs Blade Made of Poplar Willow Beginner, Intermediate, Recreational Playing Level Bat Grade: Grade 2 Sport Type: Cricket With Cover Weight Range 900-1000 g"
"Sports, Books and More",Sports,Cricket ,CEAT Smart Junior Poplar Willow Cricket  Bat  (.400 kg),3.7,₹299,₹599,IndiaFit,4.7,,Age Group Below 4 Yrs Blade Made of Poplar Willow Beginner Playing Level Bat Grade: Grade 1 Sport Type: Cricket Weight Range .400 kg
"Sports, Books and More",Sports,Cricket ,LYCAN full size long handle PVC/Plastic Cricket  Bat  (800 g),3.9,₹399,"₹1,249",sellguru,4.8,,Age Group 15+ Yrs Blade Made of PVC/Plastic Training Playing Level Bat Grade: Grade 1 Sport Type: Cricket With Cover Weight Range 800 g
"Sports, Books and More",Sports,Cricket ,MRF SPECIAL GENIUS FOR JUNIOR KIDS Poplar Willow Cricket  Bat  (.400 kg),3.8,₹290,₹599,IndiaFit,4.7,,"Age Group Below 4 Yrs Blade Made of Poplar Willow Advanced, Training, Recreational, Intermediate, Beginner Playing Level Bat Grade: Grade 1+ Sport Type: Cricket Weight Range .400 kg"
"Sports, Books and More",Sports,Cricket ,"Aurion Plastic bat , Cricket bat ,Plastic bat full size , PVC/Plastic Cricket Bat PVC/Plastic Cricket  Bat  (800-900 g)",4.0,₹359,₹449,ThynkcueBrands,4.1,,"Age Group 15+ Yrs Blade Made of PVC/Plastic Training, Advanced, Intermediate, Recreational Playing Level Bat Grade: Grade 1+ Sport Type: Cricket Weight Range 800-900 g"
"Sports, Books and More",Sports,Cricket ,"Wetics Spider Wicket Keeping Gloves Combo With Inner Gloves (Blue,Men) Wicket Keeping Gloves  (Blue)",4.8,₹611,"₹2,499",Wetics,4.8,,"Left & Right Gloves For Men, Women, Men & Women For Cricket Weight: 500 g Material: PU, Foam, Leather"
"Sports, Books and More",Sports,Cricket ,AVG MRF Genius GRAND EDITION VRAT KOHLI ENDORSED POPULER WILLOW BAT Cricket Bat(six) Poplar Willow Cricket  Bat  (.700 kg),3.6,₹369,"₹1,699",SportsIndiaLTD,4.7,,Age Group 11 - 13 Yrs Blade Made of Poplar Willow Advanced Playing Level Bat Grade: Grade 1 Sport Type: Cricket Weight Range .700 kg
"Sports, Books and More",Sports,Cricket ,LYCAN size 1 for age group 4 year PVC/Plastic Cricket  Bat  (500 g),3.8,₹199,₹999,sellguru,4.8,,Age Group 4 - 5 Yrs Blade Made of PVC/Plastic Advanced Playing Level Bat Grade: Grade 1 Sport Type: Cricket Weight Range 500 g
"Sports, Books and More",Sports,Cricket ,SPARTAN MOBI SPARTAN MSD WHITE POPLAR WILLOW CRICKET BAT (.900kg ) Poplar Willow Cricket  Bat  (.900 kg),3.4,₹419,₹899,SportsIndiaLTD,4.7,,"Age Group 15+ Yrs Blade Made of Poplar Willow Advanced, Training, Intermediate, Beginner Playing Level Bat Grade: Grade 1+ Sport Type: Cricket Weight Range .900 kg"
"Sports, Books and More",Sports,Cricket ,VECTOR X Cricket Bat Grip Handle Camoflague Extra Tacky for Better Grip Ultra Tacky  (Pack of 6),4.1,₹599,₹708,SOCCERINTERNATIONAL,4.1,,Type: Replacement Grip Material: Premium Rubber Length: 304 mm
"Sports, Books and More",Sports,Cricket ,VICTORY Heavy Plastic Cricket Stumps Set  (Blue),4.3,₹299,₹499,VictoryOutlets,4.7,,Made of Plastic Color: Blue Bails Included
"Sports, Books and More",Sports,Cricket ,HRSGS Latest edition poplar willow cricket bat Poplar Willow Cricket  Bat  (1000 kg),3.8,₹389,₹999,LINOX,4.5,,Age Group 15+ Yrs Blade Made of Poplar Willow Intermediate Playing Level Bat Grade: Grade 1+ Sport Type: Cricket Weight Range 1000 kg
"Sports, Books and More",Sports,Cricket ,VEDANSHI Padded Cricket Abdominal Guard Mens Abdominal Guard  (White),3.8,₹159,₹499, SHOP ON,4.7,,Type: Abdominal Guard Ideal For: Men For: Cricket Men's Size Left and Right Orientation
"Sports, Books and More",Sports,Cricket ,"Wetics Arrow Batting Gloves Combo With Inner Gloves (Blue, Men) Batting Gloves  (Blue, White)",4.8,₹548,"₹1,599",Wetics,4.8,,"Left & Right Gloves For Men, Women, Men & Women For Cricket Weight: 300 g Material: PU, Foam, Leather"
"Sports, Books and More",Sports,Cricket ,TYF CRICKET BAT POPLAR WILLOW FULL SIZE CRICKET BAT Poplar Willow Cricket Bat Poplar Willow Cricket  Bat  ((900-1000 g) g),3.4,₹520,"₹1,899",Trend Is Your Friend,4.3,,Age Group 15+ Yrs Blade Made of Poplar Willow Advanced Playing Level Bat Grade: Grade 5 Sport Type: Cricket Weight Range (900-1000 g) g
"Sports, Books and More",Sports,Cricket ,CEAT For Junior Next Generation Poplar Willow Cricket  Bat  (2 kg),3.8,₹299,₹599,IndiaFit,4.7,,"Age Group Below 4 Yrs Blade Made of Poplar Willow Advanced, Training, Recreational, Intermediate, Beginner Playing Level Bat Grade: Grade 1+ Sport Type: Cricket Weight Range 2 kg"
"Sports, Books and More",Sports,Badminton ,VICTOO SPORTS VICTOO PROFESIONAL BADMINTON Badminton Kit,3.8,₹335,₹600,,0.0,,"Sport Type: Badminton Ideal For: Boys, Girls, Senior Color: Black, Green Width: 14 cm, Height: 30 cm, Depth: 1.344 cm"
"Sports, Books and More",Sports,Badminton ,"LI-NING XP-60-IV ( strung ) - Pack of 2 With 1 full cover Black, Pink Strung Badminton Racquet  (Pack of: 2, 93 g)",4.1,₹749,"₹1,980",RIDNISHretail,4.7,,Cover: Full Cover Strung Type:- Strung Grip Size: G4 - 8.25 cm Weight: 93 g Head Shape:- Isometric Shape Beam Width:- 20.5 mm
"Sports, Books and More",Sports,Badminton ,"Nongi Badminton Feather Shuttlecock For Indoor and Outdoor Badminton Shuttle Sports Feather Shuttle  - White  (Medium, 77, Pack of 3)",3.9,₹89,₹500,PadmawatiSports,4.9,,"Feather Rubber Base Cork Base Material Feather Skirt Material Medium, 77"
"Sports, Books and More",Sports,Badminton ,Monika Sports 2 pc Single Shaft Racquet With 3 Feather shuttle & 1 Racquet Cover Badminton Kit,3.9,₹299,₹899,MONIKASPORTSINDUSTRIES,4.7,,"Sport Type: Badminton Ideal For: Senior, Junior Color: Multicolor Width: 26 cm, Height: 66 cm, Depth: 14 cm"
"Sports, Books and More",Sports,Badminton ,"YONEX ZR 100 LIGHT Black Strung Badminton Racquet  (Pack of: 1, 400 g)",4.0,₹499,₹750,BTPLD,4.4,,Cover: Full Cover Strung Type:- Strung Grip Size: G4 - 8.25 cm Weight: 400 g Head Shape:- Isometric Shape Beam Width:- 10 mm
"Sports, Books and More",Sports,Badminton ,"YONEX MAVIS 500 SUPER Nylon Shuttle  - Yellow  (Slow, 75, Pack of 6)",4.2,₹899,"₹1,265",BTPLD,4.4,,"Nylon Slow, 75"
"Sports, Books and More",Sports,Badminton ,"LI-NING XP-90-IV Black, White, Silver Strung Badminton Racquet  (Pack of: 1, 86 g)",4.0,₹439,₹990,RIDNISHretail,4.7,,Cover: Cover Not Available Strung Type:- Strung Grip Size: G4 - 8.25 cm Weight: 86 g Head Shape:- Oval Shape Beam Width:- 20 mm
"Sports, Books and More",Sports,Badminton ,"LI-NING Smash XP 70 IV Badminton Racket (Set of 1 + 1 Full Cover) (Strung, Black/Gold) Yellow Strung Badminton Racquet  (Pack of: 2, 95 g)",3.9,₹499,₹990,RIDNISHretail,4.7,,Cover: Full Cover Strung Type:- Strung Grip Size: G4 -3.25 Inches Weight: 95 g Head Shape:- Oval Shape Beam Width:- 20.5 mm
